Year,Date,Country,Sex,Age,Fatal_Y/N,Activity,Type,Injury
2016,18-Sep-16,Usa,M,16,N,Surfing,Unprovoked,Minor injury to thigh
2016,18-Sep-16,Usa,M,36,N,Surfing,Unprovoked,Lacerations to hands
2016,18-Sep-16,Usa,M,43,N,Surfing,Unprovoked,Lacerations to lower leg
2016,17-Sep-16,Australia,M,,N,Surfing,Unprovoked,Struck by fin on chest & leg
2016,16-Sep-16,Australia,M,,N,Surfing,Unprovoked,No injury: Knocked off board by shark
2016,15-Sep-16,Australia,Unknown,,N,Fishing,Boat,Shark rammed boat. No injury to occupant
2016,11-Sep-16,Usa,M,60s,N,Wading,Unprovoked,Minor injury to arm
2016,07-Sep-16,Usa,F,51,N,Swimming,Unprovoked,Severe lacerations to shoulder & forearm
2016,06-Sep-16,New Caledonia,M,50,Y,Kite surfing,Unprovoked,FATAL
2016,05-Sep-16,Usa,F,12,N,Boogie boarding,Unprovoked,Lacerations & punctures to lower right leg
2016,05-Sep-16,Australia,M,,N,Surfing,Unprovoked,"No inury, board broken in half by shark"
2016,04-Sep-16,Usa,M,9,N,Body boarding,Unprovoked,Foot bitten
2016,01-Sep-16,Usa,M,22,N,Spearfishing,Unprovoked,Two toes broken & lacerated
2016,29-Aug-16,Usa,M,25,N,Surfing,Unprovoked,Lacerations to right foot
2016,29-Aug-16,Usa,M,37,N,Surfing,Unprovoked,Minor injury to ankle
2016,27-Aug-16,Reunion,M,20,N,Surfing,Unprovoked,"Right arm severed, ankle severely bitten "
2016,25-Aug-16,Usa,M,49,N,Wading,Unprovoked,Minor injury to ankle
2016,07-Aug-16,Bahamas,M,15,N,Snorkeling,Unprovoked,Lacerations to left leg
2016,06-Aug-16,Usa,M,21,N,SUP Foil boarding,Unprovoked,"No inury, shark & board collided"
2016,04-Aug-16,Usa,M,22,N,Surfing,Unprovoked,Big toe bitten
2016,29-Jul-16,Spain,M,40,N,Swimming,Unprovoked,Lacerations to right hand
2016,28-Jul-16,China,M,72,N,Swimming,Unprovoked,Lacerations to leg
2016,28-Jul-16,Australia,M,,N,Kayaking,Boat,"No injury, shark nudged kayak repeatedly"
2016,27-Jul-16,Usa,M,43,N,Lobstering,Provoked,Laceration to left forearm PROVOKED INCIDENT
2016,26-Jul-16,Australia,M,18,N,Surfing,Unprovoked,"No injury. Leg rope severed, knocked off board by shark"
2016,24-Jul-16,Japan,M,29,N,Surfing,Unprovoked,Lacerations to left leg
2016,23-Jul-16,Australia,M,36,N,Surfing,Unprovoked,Calf bumped but no injury
2016,23-Jul-16,Bahamas,M,,N,Spearfishing,Unprovoked,Lacerations to face and right leg
2016,20-Jul-16,Australia,M,31,N,Fishing,Provoked,Laceration to left calf from hooked shark PROVOKED INCIDENT
2016,17-Jul-16,Usa,Unknown,,N,Fishing in Alabama Deep Fishing Rodeo,Boat,"No injury, shark bit trolling motor"
2016,16-Jul-16,Usa,F,9,N,Surfing,Unprovoked,Minor injury to leg
2016,16-Jul-16,Usa,F,11,N,,Unprovoked,Minor injury to toes
2016,15-Jul-16,Usa,M,,N,Swimming,Unprovoked,Puncture wounds to foot
2016,Reported  14-Jul-2016,Bahamas,M,,N,Scuba Diving,Unprovoked,Face bruised when partly blind shark collided with him
2016,Reported 08-Jul-2016,Spain,F,10,N,Wading,Unprovoked,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide"
2016,08-Jul-16,Usa,M,,N,Fishing for squid,Boat,"No injury. Hull bitten, tooth fragment recovered"
2016,07-Jul-16,Usa,M,59,N,Fishing,Provoked,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT
2016,07-Jul-16,Usa,M,,N,Fishing for sharks,Boat,"No injury. Hull bitten, tooth fragment recovered"
2016,06-Jul-16,Usa,F,42,N,Swimming,Unprovoked,"Buttocks, thigh, left hand & wrist injured"
2016,04-Jul-16,Australia,M,34,N,Fishing,Provoked,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT
2016,27-Jun-16,Usa,M,35,N,,Unprovoked,Minor injury
2016,25-Jun-16,Usa,M,11,N,Surfing,Unprovoked,Foot injured
2016,24-Jun-16,Columbia,M,59,N,Scuba Diving,Unprovoked,Severe bite to right hand
2016,23-Jun-16,South Africa,M,43,N,Spearfishing,Unprovoked,Injuries to left leg & right hand
2016,21-Jun-16,Usa,M,42,N,Floating,Unprovoked,Lacerations and punctures to foot
2016,21-Jun-16,Usa,M,,N,Wading,Unprovoked,Injuries to right calf
2016,15-Jun-16,Usa,M,,N,Surfing,Unprovoked,Single puncture wound to arm
2016,15-Jun-16,Australia,M,19,N,Spearfishing,Provoked,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT
2016,14-Jun-16,Usa,F,6,N,Floating in tube,Unprovoked,Injury to lower leg
2016,11-Jun-16,Usa,M,19,N,Standing,Unprovoked,Laceration to wrist
2016,07-Jun-16,Usa,M,27,N,Surfing,Invalid,"No injury, board damaged"
2016,05-Jun-16,Usa,M,64,N,Swimming,Unprovoked,Leg bitten
2016,05-Jun-16,Australia,F,60,Y,Diving,Unprovoked,FATAL
2016,04-Jun-16,Egypt,M,23,N,Swimming,Unprovoked,"Leg severely bitten, surgically amputated"
2016,02-Jun-16,Australia,M,,Unknown,Spearfishing,Unprovoked,"No injury, but sharks repeatedly hit their fins and guns"
2016,02-Jun-16,New Caledonia,M,,N,Kite surfing,Unprovoked,Laceration to heel
2016,31-May-16,Australia,M,29,Y,Surfing,Unprovoked,FATAL
2016,29-May-16,Usa,F,52,N,Swimming,Unprovoked,Injuries to arm and shoulder
2016,29-May-16,Usa,M,13,N,Swimming,Unprovoked,Injury to posterior right leg
2016,22-May-16,Usa,F,57,N,Swimming,Unprovoked,Puncture wounds to thigh
2016,21-May-16,Usa,F,22,N,Swimming,Unprovoked,Lacerations and puncture wounds to foot and ankle
2016,21-May-16,Usa,F,11,N,Swimming,Unprovoked,"Back, arm & hand injured"
2016,18-May-16,Usa,M,48,N,Swimming,Unprovoked,Ankle bitten
2016,15-May-16,Usa,F,23,N,Teasing a shark,Provoked,Arm grabbed PROVOKED INCIDENT
2016,03-May-16,Usa,M,59,N,Floating,Unprovoked,Minor lacerations to right shoulder
2016,02-May-16,New Zealand,M,39,N,Fishing,Provoked,Foot bitten by landed shark PROVOKED INCIDENT
2016,25-Apr-16,Indonesia,M,24,N,Surfing,Unprovoked,Elbow bitten
2016,23-Apr-16,Usa,M,15,N,Surfing,Unprovoked,Minor injury to left foot
2016,22-Apr-16,South Africa,M,,N,Surf-skiing,Unprovoked,"No injury, surf-ski bitten"
2016,19-Apr-16,Australia,M,12,N,Swimming,Unprovoked,Minor puncture wound to foot
2016,18-Apr-16,French Polynesia,M,26,N,Spearfishing,Provoked,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT"
2016,13-Apr-16,Usa,M,26,N,Spearfishing,Unprovoked,Multiple bites to right arm
2016,09-Apr-16,New Caledonia,F,69,Y,Walking,Unprovoked,FATAL
2016,08-Apr-16,Cape Verde,M,60,N,,Invalid,"""Serious"""
2016,07-Apr-16,Usa,M,34,N,Fishing,Unprovoked,Left hand bitten
2016,07-Apr-16,Usa,M,,N,SUP,Invalid,Fell off board when spinner shark leapt from the water next to him. No injury to surfer
2016,31-Mar-16,Usa,F,46,N,Snorkeling,Unprovoked,Minor injury to left foot
2016,30-Mar-16,Australia,M,22,N,Surfing,Unprovoked,Severe injury to thigh
2016,28-Mar-16,Usa,M,Teen,N,,Unprovoked,Minor injury to arm. Possibly caused by smalll nurse shark
2016,28-Mar-16,Australia,M,41,N,Surfing,Unprovoked,"No injury, board dented"
2016,26-Mar-16,Bahamas,M,9,N,,Provoked,Minor injury to chest PROVOKED INCIDENT
2016,13-Mar-16,Usa,Unknown,,N,Surfing,Invalid,Board reportedly bumped by shark. No injury
2016,11-Mar-16,Usa,M,19,N,Body surfing,Unprovoked,Lacerations to right foot and ankle
2016,10-Mar-16,Fiji,M,45,Y,Diving for beche-de-mer,Unprovoked,FATAL
2016,04-Mar-16,Usa,M,12,N,,Unprovoked,Superficial injury to foot
2016,Reported 03-Mar-2016,Australia,M,,N,Fishing,Unprovoked,Puncture wounds to right calf
2016,02-Mar-16,Brazil,M,41,N,Swimming,Unprovoked,Minor injury to head
2016,22-Feb-16,New Caledonia,M,21,N,Kite surfing,Unprovoked,Puncture wounds to right thigh
2016, 19-Feb-2016,New Caledonia,M,31,N,Spearfishing,Unprovoked,Forearm bitten
2016,12-Feb-16,Dominican Republic,F,,N,Wading,Unprovoked,Avulsion injury to lower leg
2016,Reported 10-Feb-2016,Cayman Islands,M,65,N,Feeding stingrays?,Invalid,Minor injury to wrist from Southern stingray
2016,10-Feb-16,Australia,M,,N,Surfing,Invalid,"No injury, knocked off board"
2016,05-Feb-16,Australia,F,45,N,Walking,Unprovoked,Foot nipped
2016,04-Feb-16,Australia,M,40,N,Windsurfing,Unprovoked,"No injury, shark bit board"
2016,29-Jan-16,South Africa,M,,N,Kayak fishing,Boat,"No injury, shark capsized kayak"
2016,28-Jan-16,Usa,M,,N,Surfing,Unprovoked,Lacerations to both hands
2016,25-Jan-16,Usa,F,15,N,Surfing,Unprovoked,No injury
2016,24-Jan-16,Usa,M,,N,Spearfishing,Unprovoked,"Bruised ribs & tail bone, speargun broken and wetsuit cut"
2016,24-Jan-16,United Arab Emirates,M,,N,Fishing,Boat,"No injury to occupants, shark leapt into boat"
2016,23-Jan-16,Usa,M,48,N,Paddle boarding,Unprovoked,No injury
2016,Reported 11-Jan-2016,Australia,M,,N,Surfing,Unprovoked,Laceration to right foot
2016,05-Jan-16,Australia,M,11,N,Wading,Unprovoked,Laceration to right calf
2016,02-Jan-16,Australia,M,31,N,Spearfishing,Unprovoked,Lacerations to arms & leg
2015,26-Dec-15,South Africa,M,,N,Kayak Fishing,Boat,"No injury, kayak damaged"
2015,25-Dec-15,Spain,F,38,N,Swimming,Unprovoked,Lacerations to left forearm
2015,22-Dec-15,Usa,M,71,N,Paddle boarding,Unprovoked,"No injury, shark bit board"
2015,21-Dec-15,Australia,M,43,N,Surfing,Unprovoked,"No injury, shark leapt on surfboard"
2015,21-Dec-15,Brazil,M,32,N,Scuba diving,Unprovoked,Right hand & part of forearm removed
2015,19-Dec-15,Aruba,M,58,Y,Sea disaster,Unprovoked,FATAL
2015,13-Dec-15,Australia,Unknown,,N,Fishing,Boat,"No injury, shark rammed boat & bit motor"
2015,11-Dec-15,Bahamas,M,26,N,Lobster fishing,Unprovoked,"Bitten on thigh, abdomen & hand"
2015,08-Dec-15,South Africa,F,22,N,Swimming / Wading,Unprovoked,Lacerations to both hands and forearms
2015,16-Nov-15,Usa,M,,N,Surfing,Unprovoked,Right heel injured
2015,15-Nov-15,Usa,F,,N,Swimming,Unprovoked,Leg injured
2015,15-Nov-15,Usa,M,28,N,Surfing,Unprovoked,Lacerations to hand
2015,10-Nov-15,Australia,M,20,N,Surfing,Unprovoked,Injury to left thigh
2015,07-Nov-15,Usa,F,9,N,Surfing,Invalid,Lower left leg injured
2015,03-Nov-15,Usa,M,54,N,Swimming,Unprovoked,Laceration to right ankle
2015,01-Nov-15,Usa,F,28,N,Wading,Unprovoked,Injury to right ankle/calf & hand
2015,01-Nov-15,Mozambique,M,19,N,Fishing,Unprovoked,"Arms severely injured, surgically amputated"
2015,30-Oct-15,Australia,M,50,N,Spearfishing,Unprovoked,Minor injury
2015,28-Oct-15,Usa,M,10,N,Body boarding,Unprovoked,"Lacerations & puncture wounds to right thigh, calf & ankle"
2015,25-Oct-15,South Africa,M,42,N,Surfing,Unprovoked,"Lacerations to right calf, knee & hip"
2015,21-Oct-15,Usa,M,21,N,Surfing,Unprovoked,Lacerations to left hand
2015,19-Oct-15,Usa,M,21,N,Surfing,Unprovoked,Left foot bitten
2015,17-Oct-15,Mozambique,F,35,Y,Fishing for shrimp,Unprovoked,FATAL
2015,17-Oct-15,Usa,M,32,N,Surfing,Invalid,Left foot bitten by eel
2015,17-Oct-15,Usa,M,44,N,Swimming,Unprovoked,Injuries to lower legs
2015,13-Oct-15,Usa,M,,N,Kayak Fishing,Boat,"No injury, shark rammed kayak repeatedly"
2015,09-Oct-15,Usa,F,9,N,Boogie boarding,Unprovoked,Laceration to forearm
2015,09-Oct-15,Usa,M,25,N,Surfing,Unprovoked,"Left leg severed below the knee, defense injuries to left hand"
2015,08-Oct-15,Mozambique,M,,N,Fishing,Unprovoked,"Arm severely injured, surgically amputated"
2015,07-Oct-15,Australia,M,18,N,Surfing,Unprovoked,Foot injured
2015,05-Oct-15,Usa,M,22,N,Body boarding,Unprovoked,2 lacerations to ankle
2015,05-Oct-15,Usa,M,13,N,Wading,Unprovoked,Foot & hands bitten
2015,04-Oct-15,Usa,M,14,N,Surfing,Unprovoked,Severe lacerations to left hand
2015,29-Sep-15,Usa,M,22,N,Surfing,Unprovoked,"Laceration to heel, puncture wounds to dorsum of foot"
2015,26-Sep-15,Australia,F,7,N,Snorkeling,Unprovoked,Laceration to leg
2015,24-Sep-15,Usa,M,,N,Kayak fishing,Unprovoked,"No injury, kayak damaged"
2015,20-Sep-15,Usa,M,14,N,Surfing,Unprovoked,Minor injury to left ankle
2015,20-Sep-15,Usa,M,27,N,Spearfishing,Unprovoked,Severe laceration to left leg
2015,20-Sep-15,Usa,M,12,N,Wading,Unprovoked,Significant injuries to leg
2015,20-Sep-15,Usa,M,16,N,Photographing fish,Unprovoked,Injury to right hand / wrist
2015,18-Sep-15,Usa,M,,N,Swimming,Unprovoked,Lacerations to calf
2015,17-Sep-15,Usa,M,20,N,Surfing,Unprovoked,Injury to right foot
2015,08-Sep-15,Australia,M,42,N,Surfing,Unprovoked,Minor laceration to hand
2015,06-Sep-15,Usa,F,50,N,Stand-Up Paddleboarding,Unprovoked,"No injury, shark struck board, tossing her into the sea"
2015,05-Sep-15,Usa,M,29,N,Kayak Fishing,Provoked,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT
2015,04-Sep-15,Australia,M,62,N,Surf-skiing,Unprovoked,Inuries to lower left leg & ankle
2015,03-Sep-15,Usa,M,,N,,Unprovoked,Right foot bitten
2015,01-Sep-15,Thailand,F,37,N,Wading,Unprovoked,Left foot & ankle bitten
2015,Sep-15,Fiji,M,,N,Spearfishing,Unprovoked,Leg bitten
2015,29-Aug-15,Usa,F,54,N,Surfing,Unprovoked,"No injury, surfboard bitten"
2015,29-Aug-15,Usa,M,21,N,Surfing,Unprovoked,"No injury, shark struk sufer's leg and his board"
2015,22-Aug-15,Usa,M,,N,,Invalid,Wound to right lower leg
2015,22-Aug-15,Australia,M,38,N,Surfing,Unprovoked,Severe laceration to left buttock & thigh
2015,20-Aug-15,Usa,M,15,N,Surfing,Unprovoked,"Injuries to left calf, arm and hand"
2015,19-Aug-15,Usa,F,10,N,Walking,Unprovoked,Lacerations to right leg
2015,18-Aug-15,Usa,M,22,N,Kayak Fishing,Unprovoked,"No injury, kayak bitten"
2015,18-Aug-15,Spain,M,10,N,Swimming,Invalid,Minor injury when he attempted to touch a fish. 
2015,10-Aug-15,Usa,M,57,N,Spearfishing,Provoked,Right hand bitten  PROVOKED INCIDENT
2015,31-Jul-15,Australia,M,52,N,Surfing,Unprovoked,"Lacerations and puncture wounds to hip, thigh, arm and hand"
2015,26-Jul-15,Usa,M,25,N,Surfing,Unprovoked,Minor injury to sole of foot
2015,26-Jul-15,Usa,F,35,N,Floating,Invalid,"2' cut to dorsum of foot, 2 puncture wounds to sole"
2015,25-Jul-15,Australia,M,46,Y,Scallop diving on hookah,Unprovoked,FATAL
2015,23-Jul-15,Usa,M,31,N,Kayak Fishing,Provoked,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT
2015,23-Jul-15,Australia,M,40s,N,Surfing,Unprovoked,Left hand bitten
2015,22-Jul-15,Reunion,M,45,N,Surfing,Unprovoked,Arm bitten
2015,19-Jul-15,South Africa,M,34,N,Surfing,Unprovoked,No injury
2015,10-Jul-15,Usa,M,38,N,Surfing,Unprovoked,"No injury, shark bumped & damaged board"
2015,08-Jul-15,Usa,M,39,N,Treading water,Invalid,Laceration to back
2015,06-Jul-15,French Polynesia,M,,N,Swimming,Invalid,Parallel lacerations to torso inconsistent with shark bite
2015,04-Jul-15,Bahamas,F,23,N,Spearfishing,Unprovoked,Lacerations to lower leg & ankle
2015,04-Jul-15,Usa,M,32,N,,Unprovoked,Lacerations to right hand & forearm
2015,03-Jul-15,Australia,M,52,N,Surfing,Unprovoked,"No injury, shark bit surfboard"
2015,02-Jul-15,Australia,M,32,N,Body boarding ,Unprovoked,Significant injuries to lower legs
2015,01-Jul-15,Usa,M,68,N,Swimming,Unprovoked,"Injuries to torso, hip, lower leg & hands"
2015,30-Jun-15,Australia,M,,N,Surfing,Unprovoked,Hand bitten
2015,30-Jun-15,Usa,M,12,N,Playing in the water,Unprovoked,Shallow lacerations & puncture to lateral left leg
2015,27-Jun-15,Usa,M,18,N,Swimming,Unprovoked,"Injuries to right calf, buttock and both hands"
2015,27-Jun-15,South Africa,M,19,N,Body Boarding,Unprovoked,"Right leg severed, multiple lacerations to left leg"
2015,26-Jun-15,Usa,F,,N,Swimming,Invalid,Minor lacerations to leg
2015,26-Jun-15,South Africa,M,23,N,Surfing,Unprovoked,Multiple lacerations to torso & leg
2015,26-Jun-15,Usa,M,43,N,Standing,Unprovoked,Puncture wounds to foot
2015,Reported 25-Jun-2015,Australia,M,19,N,Swimming,Provoked,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT
2015,25-Jun-15,Usa,M,47,N,Body surfing?,Unprovoked,Multiple lacerations to back
2015,24-Jun-15,Usa,M,6,N,Swimming,Unprovoked,Minor injury to foot
2015,24-Jun-15,Australia,F,37,N,Surfing,Invalid,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force"
2015,23-Jun-15,Usa,M,9,N,Standing,Unprovoked,Minor injury to calf 
