Quote,Author,Tags,Authors_info,Wikipedia_link
The essence of strategy is choosing what not to do.,Michael Porter,"Essence, Deep Thought, Transcendentalism ","Michael Eugene Porter  (born May 23, 1947) is an American academic known for his theories on economics, business strategy, and social causes.",https://en.wikipedia.org/wiki/Michael_Porter
"Death is something inevitable. When a man has done what he considers to be his duty to his people and his country, he can rest in peace. I believe I have made that effort and that is, therefore, why I will sleep for the eternity.",Nelson Mandela,"Inspirational, Motivational, Death ","Nelson Rolihlahla Mandela (; Xhosa: [xolíɬaɬa mandɛ̂ːla]; 18 July 1918 – 5 December 2013) was a South African anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election.",https://en.wikipedia.org/wiki/Nelson_Mandela
"With or without religion, you would have good people doing good things and evil people doing evil things. But for good people to do evil things, that takes religion.",Steven Weinberg,"God, Religious, Atheist ","Steven Weinberg  (; born May 3, 1933) is an American theoretical physicist and Nobel laureate in Physics for his contributions with Abdus Salam and Sheldon Glashow to the unification of the weak force and electromagnetic interaction between elementary particles.",https://en.wikipedia.org/wiki/Steven_Weinberg
A person who never made a mistake never tried anything new.,Albert Einstein,"Inspirational, Motivational, Change ","Albert Einstein (; German: [ˈalbɛɐ̯t ˈʔaɪnʃtaɪn] (listen); 14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics).",https://en.wikipedia.org/wiki/Albert_Einstein
"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style",Maya Angelou,"Inspirational, Life, Inspiring ","Maya Angelou ( (listen); born Marguerite Annie Johnson; April 4, 1928 – May 28, 2014) was an American poet, singer, memoirist, and civil rights activist.",https://en.wikipedia.org/wiki/Maya_Angelou
"In a world filled with hate, we must still dare to hope. In a world filled with anger, we must still dare to comfort. In a world filled with despair, we must still dare to dream. And in a world filled with distrust, we must still dare to believe.",Michael Jackson,"Inspirational, Dream, Hate ","Michael Joseph Jackson (August 29, 1958 – June 25, 2009) was an American singer, songwriter and dancer.",https://en.wikipedia.org/wiki/Michael_Jackson
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,"Martin Luther King, Jr.","Love, Inspirational, Life ","Martin Luther King Jr. (January 15, 1929 – April 4, 1968) was an American Baptist minister and activist who became the most visible spokesperson and leader in the civil rights movement from 1954 until his assassination in 1968. Born in Atlanta, King is best known for advancing civil rights through nonviolence and civil disobedience, tactics his Christian beliefs and the nonviolent activism of Mahatma Gandhi helped inspire.",https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.,C. S. Lewis,"Forgiveness, God, Christian ","Clive Staples Lewis (29 November 1898 – 22 November 1963) was a British writer and lay theologian. He held academic positions in English literature at both Oxford University (Magdalen College, 1925–1954) and Cambridge University (Magdalene College, 1954–1963).",https://en.wikipedia.org/wiki/C._S._Lewis
A man who is good enough to shed his blood for the country is good enough to be given a square deal afterwards.,Theodore Roosevelt,"Country, Men, Squares ","Theodore  Roosevelt Jr. ( ROH-zə-velt; October 27, 1858 – January 6, 1919) was an American statesman, conservationist and writer who served as the 26th president of the United States from 1901 to 1909. He previously served as the 25th vice president of the United States from March to September 1901 and as the 33rd governor of New York from 1899 to 1900. As a leader of the Republican Party during this time, he became a driving force for the Progressive Era in the United States in the early 20th century.",https://en.wikipedia.org/wiki/Theodore_Roosevelt
Most folks are as happy as they make up their minds to be.,Abraham Lincoln,"Inspirational, Motivational, Positive ","Abraham Lincoln (February 12, 1809 – April 15, 1865) was an American lawyer and politician. He served as the 16th president of the United States from 1861 until his assassination in April 1865. Lincoln led the nation through the Civil War, its bloodiest war and its greatest moral, constitutional, and political crisis.",https://en.wikipedia.org/wiki/Abraham_Lincoln
A happy marriage is the union of two good forgivers.,Ruth Graham,"Love, Friendship, Relationship ","Ruth McCue Bell Graham (June 10, 1920 – June 14, 2007) was an American Christian author, most well known as the wife of evangelist Billy Graham.",https://en.wikipedia.org/wiki/Ruth_Graham
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C. S. Lewis,"Faith, God, Christian ","Clive Staples Lewis (29 November 1898 – 22 November 1963) was a British writer and lay theologian. He held academic positions in English literature at both Oxford University (Magdalen College, 1925–1954) and Cambridge University (Magdalene College, 1954–1963).",https://en.wikipedia.org/wiki/C._S._Lewis
"I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?",John Lennon,"Inspirational, Life, Faith ","John Winston Ono Lennon  (9 October 1940 – 8 December 1980) was an English singer, songwriter, and peace activist who co-founded the Beatles, the most commercially successful band in the history of popular music.",https://en.wikipedia.org/wiki/John_Lennon
"At the end of your life, you will never regret not having passed one more test, not winning one more verdict or not closing one more deal. You will regret time not spent with a husband, a friend, a child, or a parent.",Barbara Bush,"Inspirational, Life, Meaningful ","Barbara Bush (née Pierce; June 8, 1925 – April 17, 2018) was the First Lady of the United States from 1989 to 1993 as the wife of George H. W.",https://en.wikipedia.org/wiki/Barbara_Bush
Kindness is the language which the deaf can hear and the blind can see.,Mark Twain,"Inspirational, Relationship, Positive ","Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910), better known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer.",https://en.wikipedia.org/wiki/Mark_Twain
